revealed_scores,n,coverage,median_abs_error,median_abs_percentage_error,within_3_points,within_5_points
1,522,1.0,4.167121891957581,6.140725490418173,0.38122605363984674,0.5517241379310345
2,474,1.0,3.231458032528913,4.674116098640329,0.4831223628691983,0.689873417721519
3,426,1.0,2.4328104568421267,3.588266792813089,0.5633802816901409,0.7417840375586855
4,378,1.0,2.2457021136915074,3.292902067127642,0.6190476190476191,0.7645502645502645
5,330,1.0,2.1757430003402973,3.250302326285989,0.6333333333333333,0.8
6,282,1.0,2.3498622450555864,3.534842397488931,0.6205673758865248,0.7730496453900709
7,234,1.0,1.6813528282902794,2.414970220472802,0.6752136752136753,0.8717948717948718
8,186,1.0,1.838919402111049,2.6173874102917365,0.6989247311827957,0.8494623655913979
