regression_weight,svd_weight,n,coverage,median_abs_error,median_abs_percentage_error,within_3_points,within_5_points
0.0,1.0,837,1.0,3.5290458626264183,5.09729575084228,0.44683393070489846,0.6344086021505376
0.1,0.9,837,1.0,3.434632455900342,5.080183188719312,0.46117084826762245,0.6439665471923537
0.2,0.8,837,1.0,3.26054180487165,4.895292167595524,0.47072879330943845,0.6571087216248507
0.3,0.7,837,1.0,3.1390812620923043,4.753686113115563,0.4838709677419355,0.6630824372759857
0.4,0.6,837,1.0,3.0207247680088045,4.641759977510646,0.4982078853046595,0.6583034647550776
0.5,0.5,837,1.0,3.021493339665625,4.636037340337262,0.4982078853046595,0.6690561529271206
0.6,0.4,837,1.0,2.947221138009141,4.4722520694044166,0.5053763440860215,0.6702508960573477
0.7,0.30000000000000004,837,1.0,2.9265501870969786,4.428998359257264,0.5125448028673835,0.6750298685782556
0.8,0.19999999999999996,837,1.0,2.931366432946376,4.401556191741121,0.5077658303464755,0.6762246117084827
0.9,0.09999999999999998,837,1.0,2.985321351145032,4.4722520694044166,0.5029868578255675,0.6738351254480287
1.0,0.0,837,1.0,2.9534719000373855,4.4668725601926695,0.5053763440860215,0.6714456391875747
