k,added_benchmark,selected_suite,n,coverage,median_abs_error,median_abs_percentage_error,within_3_points,within_5_points,selected_coverage_counts
1,MMStar,MMStar,539,1.0,2.88000360363408,4.195507287434383,0.5139146567717996,0.673469387755102,"{""MMStar"": 31}"
2,ScienceQA,MMStar;ScienceQA,527,1.0,2.441543700654563,3.6744762428574385,0.5787476280834914,0.7438330170777988,"{""MMStar"": 31, ""ScienceQA"": 12}"
3,ChartQA,MMStar;ScienceQA;ChartQA,498,1.0,2.0357695889232588,3.1536461897065964,0.6265060240963856,0.7911646586345381,"{""ChartQA"": 29, ""MMStar"": 31, ""ScienceQA"": 12}"
4,MMMU,MMStar;ScienceQA;ChartQA;MMMU,455,1.0,1.8816767141563844,2.6929161139956173,0.6483516483516484,0.8175824175824176,"{""ChartQA"": 29, ""MMMU"": 43, ""MMStar"": 31, ""ScienceQA"": 12}"
5,TextVQA,MMStar;ScienceQA;ChartQA;MMMU;TextVQA,415,1.0,1.5947965684514145,2.361121917974181,0.7012048192771084,0.891566265060241,"{""ChartQA"": 29, ""MMMU"": 43, ""MMStar"": 31, ""ScienceQA"": 12, ""TextVQA"": 40}"
6,InfoVQA,MMStar;ScienceQA;ChartQA;MMMU;TextVQA;InfoVQA,393,1.0,1.4904987246073844,2.2503768944616693,0.7251908396946565,0.8982188295165394,"{""ChartQA"": 29, ""InfoVQA"": 22, ""MMMU"": 43, ""MMStar"": 31, ""ScienceQA"": 12, ""TextVQA"": 40}"
7,OCRBench,MMStar;ScienceQA;ChartQA;MMMU;TextVQA;InfoVQA;OCRBench,362,1.0,1.4662208539160062,2.204677515345595,0.7348066298342542,0.9033149171270718,"{""ChartQA"": 29, ""InfoVQA"": 22, ""MMMU"": 43, ""MMStar"": 31, ""OCRBench"": 31, ""ScienceQA"": 12, ""TextVQA"": 40}"
8,AI2D,MMStar;ScienceQA;ChartQA;MMMU;TextVQA;InfoVQA;OCRBench;AI2D,325,1.0,1.4684893018782077,2.2149662560276417,0.7446153846153846,0.9015384615384615,"{""AI2D"": 37, ""ChartQA"": 29, ""InfoVQA"": 22, ""MMMU"": 43, ""MMStar"": 31, ""OCRBench"": 31, ""ScienceQA"": 12, ""TextVQA"": 40}"
