rank,n,coverage,median_abs_error,median_abs_percentage_error,within_3_points,within_5_points
1,837,1.0,2.9702236959244175,4.319645878279832,0.5053763440860215,0.6869772998805257
2,837,1.0,3.5290458626264183,5.09729575084228,0.44683393070489846,0.6344086021505376
3,837,1.0,3.5463737298407096,5.225819327050119,0.45280764635603343,0.6212664277180406
4,837,1.0,3.8737289362399494,5.72382783960881,0.40860215053763443,0.5890083632019116
5,837,1.0,4.0538830342108625,5.805765606584822,0.4002389486260454,0.5686977299880526
6,837,1.0,4.716167007251258,6.912744260935384,0.3655913978494624,0.5232974910394266
7,837,1.0,5.210968150273104,7.4391742894189665,0.3046594982078853,0.4838709677419355
8,837,1.0,5.663372959643553,7.958308296077216,0.2915173237753883,0.45878136200716846
